t,x,y,z,vx,vy,vz,roll,pitch,yaw,p,q,r,mass,speed,airspeed,mach,q_dyn,rho,cd_eff,thrust,wind_x,wind_y,roll_ref,pitch_ref,yaw_ref,alpha_pitch_deg,beta_yaw_deg,gimbal_pitch_deg,gimbal_yaw_deg
16.89999999999973,-953.0653663643283,-760.6073108352437,337.8513708129203,-1500.0,346.2796306805135,-279.8028857264976,1.8655554429416181,0.6905734552455689,-0.6767107881694034,-3.0400000000000054,-8.0,-2.9599999999999955,18.733333333334574,1598.2276069820607,1597.5820717942693,4.713300746459416,1511635.1308853994,1.184542413958204,14.037446161506091,793.3333333335257,0.0,7.918670949726397,0.0,0.5587202700021544,0.3490658503988659,89.99999999994795,-89.99999999992825,-6.0,2.4000000000000004
16.919999999999728,-983.0653663643283,-753.6817182216333,332.2553130983904,-1500.0,562.384038477592,-4.933933790712786,1.745555442941618,0.7937017846327072,-0.7967107881694035,-3.2000000000000055,-8.0,-2.7199999999999953,18.720000000001242,1564.672246026339,1562.9382918462506,4.610531311739592,1448284.742688974,1.1857695351176214,14.03744616150566,779.1666666668594,0.0,7.9211680134769855,0.0,0.5637291849716672,0.3490658503988659,89.99999999994061,-89.99999999993277,-6.0,2.4000000000000004
16.939999999999728,-1013.0653663643283,-742.4340374520815,332.15663442257613,-1500.0,794.3325213000364,306.86852284590947,1.625555442941618,0.8750925367736171,-0.9167107881694037,-3.3600000000000056,-8.0,-2.479999999999995,18.70666666666791,1601.9675871992592,1599.2035425334152,4.717210617004863,1517095.341694484,1.1864115996881819,14.03744616150502,765.000000000193,0.0,7.922473760277042,0.0,0.566704028625675,0.3417048505798088,89.99999999993294,-89.99999999993626,-6.0,2.4000000000000004
16.959999999999727,-1043.0653663643284,-726.5473870260807,338.2940048794943,-1500.0,1064.4253991314365,686.8085939616069,1.5055554429416178,0.9333752716582451,-1.0367107881694038,-3.520000000000006,-8.0,-2.239999999999995,18.69333333333458,1724.8572244416357,1721.2231165572048,5.077129107566182,1757453.6262732756,1.1864229239875697,14.037446161504267,750.8333333335266,0.0,7.922496785301399,0.0,0.5675478235214328,0.3330006052663159,89.99999999992508,-89.9999999999392,-6.0,2.4000000000000004
16.979999999999727,-1073.0653663643284,-705.258879043452,352.03017675872644,-1500.0,1414.2247301810623,1193.0328265841404,1.3855554429416177,0.967648824779646,-1.1567107881694039,-3.680000000000006,-8.0,-1.999999999999995,18.680000000001247,1963.3408962927547,1959.0577973464449,5.7790782929804125,2275339.4347737967,1.1857187607748758,14.037446161503418,736.6666666668602,0.0,7.921064732194784,0.0,0.5660325493222843,0.3229298581317166,89.99999999991705,-89.9999999999417,-6.0,2.4000000000000004
16.999999999999726,-1103.0653663643284,-676.9743844398307,375.89083329040926,-1500.0,1500.0,1500.0,1.2655554429416176,0.9774951730084895,-1.276710788169404,-3.840000000000006,-8.0,-1.759999999999995,18.666666666667915,2381.8813809178328,2377.1887471295454,7.013629292677201,3345814.233982469,1.1841439175775417,14.037446161502494,722.500000000194,0.0,7.917859625422964,0.0,0.5617003252301893,0.3112524822202807,89.99999999990925,-89.99999999994351,-6.0,2.4000000000000004
17.019999999999726,-1133.0653663643284,-646.9743844398307,405.89083329040926,-1500.0,1500.0,1500.0,1.1455554429416175,0.9629843692935705,-1.396710788169404,-4.000000000000006,-8.0,-1.519999999999995,18.653333333334583,2598.076211353316,2593.5160936362427,7.6539555203308645,3973281.3466390236,1.1814121133410693,14.037446161504267,708.3333333335274,0.0,7.912292138898905,0.0,0.5536717807455496,0.297445765454436,89.99999999992306,-89.99999999994122,-6.0,2.4000000000000004
17.039999999999726,-1163.0653663643284,-616.9743844398307,435.89083329040926,-1439.1156907394802,1500.0,1500.0,1.0255554429416174,0.924670490712864,-1.5167107881694042,-4.160000000000006,-8.0,-1.279999999999995,18.64000000000125,2598.076211353316,2593.520120844854,7.656580728827829,3961765.224845107,1.1779842610841604,14.037446161506422,694.1666666668611,0.0,7.905292138898904,0.0,0.5435298958786818,0.2832864289556043,89.99999999993474,-89.99999999994358,-6.0,2.4000000000000004
17.059999999999725,-1191.847680179118,-586.9743844398307,465.89083329040926,-1311.1216879569997,1500.0,1500.0,0.9055554429416173,0.8635787019399448,-1.6367107881694043,-4.3200000000000065,-8.0,-1.039999999999995,18.62666666666792,2563.4067120401655,2558.79297285548,7.556640341947007,3845182.855426599,1.1745640229165695,14.037446161507333,680.0000000001949,0.0,7.8982921388989045,0.0,0.5335346128252957,0.2693542577329264,89.99999999994148,-89.99999999994279,-6.0,2.4000000000000004
17.079999999999725,-1218.070113938258,-556.9743844398307,495.89083329040926,-1117.5773667004355,1500.0,1500.0,0.7855554429416172,0.7811836916330792,-1.7567107881694044,-4.480000000000007,-8.0,-0.7999999999999949,18.613333333334587,2493.800328941997,2489.0617663501516,7.353223003827575,3627892.3271240587,1.171151387112087,14.037446161507368,665.8333333335283,0.0,7.891292138898905,0.0,0.5236362341104883,0.25579766194597253,89.99999999994544,-89.99999999993906,-6.0,2.4000000000000004
