rank,score,kp,ki,kd,guidance_gain,guidance_altitude_gain,gamma_final_deg,peak_altitude,downrange,impact_error,final_speed,flight_time,landed,mean_alpha_deg,max_alpha_deg,mean_gimbal_deg,max_gimbal_deg,saturation_ratio,mean_gamma_error_deg
1053,6300.6431,2.9,0.7,1.45,0.38,0.0001,74.0,3372.912425,1083.971225,283.971225,213.530914,58.740000,1.000000,9.666834,116.623020,0.407775,5.606693,0.000000,0.956884
1054,6301.9320,2.9,0.7,1.45,0.38,9e-05,74.0,3372.912425,1083.971225,283.971225,213.530914,58.740000,1.000000,9.666834,116.623020,0.407775,5.606693,0.000000,0.972996
1055,6304.0510,4.8,0.35,0.9,0.45,0.0001,78.0,3520.155051,557.769205,242.230795,216.314914,60.320000,1.000000,11.608415,127.155175,0.290472,5.143272,0.000000,0.823933
1056,6308.7899,3.2,0.62,1.3,0.26,0.00011,75.0,3437.557358,463.101074,336.898926,214.517842,59.480000,1.000000,12.723453,117.743571,0.267769,4.155695,0.000000,1.235875
1057,6309.8028,3.2,0.62,1.3,0.26,0.0001,75.0,3437.557358,463.101074,336.898926,214.517842,59.480000,1.000000,12.723453,117.743571,0.267769,4.155695,0.000000,1.248535
1058,6311.0910,3.2,0.62,1.3,0.26,9e-05,75.0,3437.557358,463.101074,336.898926,214.517842,59.480000,1.000000,12.723453,117.743571,0.267769,4.155695,0.000000,1.264638
1059,6313.6353,4.5,0.35,0.75,0.51,0.0001,73.0,3372.535299,1138.885016,338.885016,213.569877,58.820000,1.000000,9.517527,114.029456,0.384188,5.439953,0.000000,1.125515
1060,6316.2133,4.5,0.43,0.75,0.51,0.00011,73.0,3372.414106,1140.003655,340.003655,213.573143,58.820000,1.000000,9.514627,114.030080,0.384941,5.439476,0.000000,1.112778
1061,6317.2315,4.5,0.43,0.75,0.51,0.0001,73.0,3372.414106,1140.003655,340.003655,213.573143,58.820000,1.000000,9.514627,114.030080,0.384941,5.439476,0.000000,1.125505
1062,6317.6358,4.5,0.35,0.75,0.51,0.00011,73.0,3372.386708,1140.286377,340.286377,213.573801,58.820000,1.000000,9.514020,114.029456,0.385006,5.439953,0.000000,1.112526
1063,6318.5181,4.5,0.43,0.75,0.51,9e-05,73.0,3372.414106,1140.003655,340.003655,213.573143,58.820000,1.000000,9.514627,114.030080,0.384941,5.439476,0.000000,1.141588
1064,6321.4789,4.8,0.27,0.75,0.45,0.00011,75.0,3442.572662,463.728611,336.271389,214.633191,59.620000,1.000000,12.806145,117.851868,0.286289,4.347489,0.000000,1.173260
1065,6322.4943,4.8,0.27,0.75,0.45,0.0001,75.0,3442.572662,463.728611,336.271389,214.633191,59.620000,1.000000,12.806145,117.851868,0.286289,4.347489,0.000000,1.185952
1066,6323.7843,4.8,0.27,0.75,0.45,9e-05,75.0,3442.572662,463.728611,336.271389,214.633191,59.620000,1.000000,12.806145,117.851868,0.286289,4.347489,0.000000,1.202077
1067,6328.6560,4.8,0.35,1.3,0.32,0.0001,74.0,3416.606802,452.354472,347.645528,214.131993,59.340000,1.000000,12.869658,115.431693,0.299153,4.748357,0.000000,1.437759
1068,6332.6139,4.8,0.43,0.75,0.51,0.00011,73.0,3372.140332,1143.152221,343.152221,213.581159,58.820000,1.000000,9.507222,114.053400,0.385722,5.444855,0.000000,1.110094
1069,6333.6322,4.8,0.43,0.75,0.51,0.0001,73.0,3372.140332,1143.152221,343.152221,213.581159,58.820000,1.000000,9.507222,114.053400,0.385722,5.444855,0.000000,1.122822
1070,6334.0260,4.8,0.35,0.75,0.51,0.00011,73.0,3372.113041,1143.432719,343.432719,213.581812,58.820000,1.000000,9.506624,114.052793,0.385787,5.445329,0.000000,1.109844
1071,6334.9189,4.8,0.43,0.75,0.51,9e-05,73.0,3372.140332,1143.152221,343.152221,213.581159,58.820000,1.000000,9.507222,114.053400,0.385722,5.444855,0.000000,1.138907
1072,6335.0442,4.8,0.35,0.75,0.51,0.0001,73.0,3372.113041,1143.432719,343.432719,213.581812,58.820000,1.000000,9.506624,114.052793,0.385787,5.445329,0.000000,1.122572
1073,6335.4368,4.8,0.27,0.75,0.51,0.00011,73.0,3372.085767,1143.712972,343.712972,213.582465,58.820000,1.000000,9.506028,114.052185,0.385851,5.445802,0.000000,1.109595
1074,6336.3310,4.8,0.35,0.75,0.51,9e-05,73.0,3372.113041,1143.432719,343.432719,213.581812,58.820000,1.000000,9.506624,114.052793,0.385787,5.445329,0.000000,1.138657
1075,6336.4551,4.8,0.27,0.75,0.51,0.0001,73.0,3372.085767,1143.712972,343.712972,213.582465,58.820000,1.000000,9.506028,114.052185,0.385851,5.445802,0.000000,1.122323
1076,6336.9978,4.8,0.35,1.3,0.32,6e-05,74.0,3416.606802,452.354472,347.645528,214.131993,59.340000,1.000000,12.869658,115.431693,0.299153,4.748357,0.000000,1.542032
1077,6337.7418,4.8,0.27,0.75,0.51,9e-05,73.0,3372.085767,1143.712972,343.712972,213.582465,58.820000,1.000000,9.506028,114.052185,0.385851,5.445802,0.000000,1.138407
1078,6340.3152,4.0,0.7,0.9,0.58,0.0001,74.0,3371.846200,1083.294391,283.294391,213.506511,58.780000,1.000000,9.758589,115.689772,0.421603,5.666223,0.000000,0.864097
1079,6342.3997,3.2,0.78,1.3,0.32,0.00011,73.0,3428.605576,444.742289,355.257711,214.331977,59.460000,1.000000,12.892170,113.232808,0.259971,3.973852,0.000000,1.578393
1080,6343.3953,3.2,0.78,1.3,0.32,0.0001,73.0,3428.605576,444.742289,355.257711,214.331977,59.460000,1.000000,12.892170,113.232808,0.259971,3.973852,0.000000,1.590839
1081,6344.6557,3.2,0.78,1.3,0.32,9e-05,73.0,3428.605576,444.742289,355.257711,214.331977,59.460000,1.000000,12.892170,113.232808,0.259971,3.973852,0.000000,1.606594
1082,6344.7328,4.5,0.35,0.9,0.39,0.00011,74.0,3418.902326,448.996262,351.003738,214.119633,59.360000,1.000000,12.950475,115.117615,0.282527,4.467257,0.000000,1.390056
1083,6345.5239,4.5,0.43,0.9,0.45,0.00011,74.0,3375.609208,1066.493752,266.493752,213.593911,58.820000,1.000000,9.784952,116.881039,0.404956,5.714912,0.000000,0.879014
1084,6345.7403,4.5,0.35,0.9,0.39,0.0001,74.0,3418.902326,448.996262,351.003738,214.119633,59.360000,1.000000,12.950475,115.117615,0.282527,4.467257,0.000000,1.402651
1085,6346.5489,4.5,0.43,0.9,0.45,0.0001,74.0,3375.609208,1066.493752,266.493752,213.593911,58.820000,1.000000,9.784952,116.881039,0.404956,5.714912,0.000000,0.891827
1086,6347.0173,4.5,0.35,0.9,0.39,9e-05,74.0,3418.902326,448.996262,351.003738,214.119633,59.360000,1.000000,12.950475,115.117615,0.282527,4.467257,0.000000,1.418613
1087,6347.8472,4.5,0.43,0.9,0.45,9e-05,74.0,3375.609208,1066.493752,266.493752,213.593911,58.820000,1.000000,9.784952,116.881039,0.404956,5.714912,0.000000,0.908055
1088,6348.7792,4.0,0.7,0.9,0.58,6e-05,74.0,3371.846200,1083.294391,283.294391,213.506511,58.780000,1.000000,9.758589,115.689772,0.421603,5.666223,0.000000,0.969898
1089,6352.9787,3.2,0.7,1.3,0.32,0.00011,73.0,3428.666239,442.673853,357.326147,214.326687,59.460000,1.000000,12.908410,113.224427,0.259747,3.970405,0.000000,1.580169
1090,6353.9743,3.2,0.7,1.3,0.32,0.0001,73.0,3428.666239,442.673853,357.326147,214.326687,59.460000,1.000000,12.908410,113.224427,0.259747,3.970405,0.000000,1.592614
1091,6355.2347,3.2,0.7,1.3,0.32,9e-05,73.0,3428.666239,442.673853,357.326147,214.326687,59.460000,1.000000,12.908410,113.224427,0.259747,3.970405,0.000000,1.608369
1092,6358.6721,5.1,0.35,0.9,0.39,0.00011,74.0,3412.433439,488.542196,311.457804,214.022836,59.280000,1.000000,12.624429,115.009935,0.321159,5.047261,0.000000,1.392114
1093,6359.6797,5.1,0.35,0.9,0.39,0.0001,74.0,3412.433439,488.542196,311.457804,214.022836,59.280000,1.000000,12.624429,115.009935,0.321159,5.047261,0.000000,1.404710
1094,6360.9565,5.1,0.35,0.9,0.39,9e-05,74.0,3412.433439,488.542196,311.457804,214.022836,59.280000,1.000000,12.624429,115.009935,0.321159,5.047261,0.000000,1.420670
