t,east_m,north_m,up_m,ve_m_s,vn_m_s,vu_m_s,mass_kg,pitch_deg,ground_distance_m,speed_m_s,target_east_m,target_north_m,target_up_m,target_surface_distance_m,phase,desired_pitch_deg,remaining_ground_m,q_dyn,mach,cd_eff,azimuth_deg,line_of_sight_elevation_deg
18.63999999999969,-766.3075775909417,5861.750498886672,35.65303403558841,-77.87183235535788,595.6684567745484,-59.88119151637616,30.227368421050944,2.4405115136694637,5911.6280511100695,603.7140794846298,-2594.8902379120104,19849.208844384382,5.552378098607051,20017.142430270833,burn,2.4405115136694637,14106.47743104778,222477.4270622478,1.7748183486419187,0.22032409403589717,352.5519519239,0.015892004537414336
18.65999999999969,-767.8650142380488,5873.663868022163,34.45541020526089,-77.93363607688543,596.1412147193884,-59.97440819229243,30.214736842103576,2.444961385476508,5923.642790935311,604.1977566635679,-2594.8902379120104,19849.208844384382,5.552378098607051,20017.142430270833,burn,2.444961385476508,14094.46269122254,222859.69617143096,1.7762162666402057,0.22031691536447995,352.5519519239,0.015892004537414336
18.67999999999969,-769.4236869595866,5885.586692316551,33.25592204141504,-77.9953387679453,596.6131998473965,-60.06735818708558,30.20210526315621,2.449426497547288,5935.667066373262,604.6806352292518,-2594.8902379120104,19849.208844384382,5.552378098607051,20017.142430270833,burn,2.449426497547288,14082.438415784589,223241.78559401183,1.7776117620358964,0.22030989525008737,352.5519519239,0.015892004537414336
18.69999999999969,-770.9835937349454,5897.518956313499,32.05457487767333,-78.05694035559964,597.0844116006459,-60.1600411122201,30.189473684208842,2.4539068778885915,5947.700861836069,605.1627145328694,-2594.8902379120104,19849.208844384382,5.552378098607051,20017.142430270833,burn,2.4539068778885915,14070.404620321782,223623.69343101102,1.7790048330413408,0.2203030302728556,352.5519519239,0.015892004537414336
18.71999999999969,-772.5447325420574,5909.460644545512,30.85137405542893,-78.11844076832601,597.5548494320371,-60.25245658017376,30.176842105261475,2.4584025546128694,5959.744161724624,605.6439939368381,-2594.8902379120104,19849.208844384382,5.552378098607051,20017.142430270833,burn,2.4584025546128694,14058.361320433227,224005.4177904957,1.7803954779027933,0.22029631708300065,352.5519519239,0.015892004537414336
18.73999999999969,-774.107101357424,5921.4117415341525,29.646324923825457,-78.17983993600137,598.0245128051747,-60.34460420442671,30.164210526314108,2.462913555938762,5971.796950428784,606.1244728146804,-2594.8902379120104,19849.208844384382,5.552378098607051,20017.142430270833,burn,2.462913555938762,14046.308531729068,224386.95678752853,1.7817836949000405,0.2202897523995161,352.5519519239,0.015892004537414336
18.75999999999969,-775.670698156144,5933.372231790256,28.439432839736924,-78.2411377898862,598.4934011942464,-60.43648359945073,30.15157894736674,2.467439910191619,5983.859212327586,606.6041505509007,-2594.8902379120104,19849.208844384382,5.552378098607051,20017.142430270833,burn,2.467439910191619,14034.246269830266,224768.30854411764,1.7831694823460407,0.2202833330088903,352.5519519239,0.015892004537414336
18.77999999999969,-777.2355209119418,5945.342099814141,27.230703167747908,-78.30233426260892,598.9615140839039,-60.528094380698484,30.138947368419373,2.4719816458040214,5995.930931789464,607.0830265408634,-2594.8902379120104,19849.208844384382,5.552378098607051,20017.142430270833,burn,2.4719816458040214,14022.174550368387,225149.47118916627,1.7845528385865579,0.2202770557638435,352.5519519239,0.015892004537414336
18.799999999999688,-778.801567597194,5957.321330095819,26.020141280133938,-78.36342928815054,599.4288509691452,-60.61943616459287,30.126315789472006,2.4765387913163135,6008.012093172455,607.5611001906736,-2594.8902379120104,19849.208844384382,5.552378098607051,20017.142430270833,burn,2.4765387913163135,14010.093388985395,225530.44285842305,1.7859337619998115,0.22027091758208384,352.5519519239,0.015892004537414336
18.819999999999688,-780.368836182957,5969.309907115202,24.807752556842082,-78.42442280182942,599.895411355198,-60.7105085685165,30.11368421052464,2.481111375377126,6020.10268082441,608.0383709170584,-2594.8902379120104,19849.208844384382,5.552378098607051,20017.142430270833,burn,2.481111375377126,13998.002801333441,225911.22169443427,1.7873122509961201,0.220264915445083,352.5519519239,0.015892004537414336
18.839999999999687,-781.9373246389936,5981.307815342306,23.593542385471753,-78.48531474028638,600.3611947574062,-60.80131121080119,30.10105263157727,2.4856994267439165,6032.2026790832,608.5148381472508,-2594.8902379120104,19849.208844384382,5.552378098607051,20017.142430270833,burn,2.4856994267439165,13985.902803074652,226291.80584649474,1.788688304017562,0.22025904639687066,352.5519519239,0.015892004537414336
18.859999999999687,-783.5070309337993,5993.315039237454,22.37751616125573,-78.54610504146994,600.8262007011168,-60.891843710717545,30.088421052629904,2.4903029742834994,6044.312072276922,608.9905013188751,-2594.8902379120104,19849.208844384382,5.552378098607051,20017.142430270833,burn,2.4903029742834994,13973.79340988093,226672.19347060137,1.7900619195376317,0.220253307542848,352.5519519239,0.015892004537414336
18.879999999999686,-785.0779530346288,6005.331563251476,21.159679287041378,-78.6067936446218,601.2904287215684,-60.98210568846468,30.075789473682537,2.4949220469725835,6056.430844724098,609.4653598798334,-2594.8902379120104,19849.208844384382,5.552378098607051,20017.142430270833,burn,2.4949220469725835,13961.674637433753,227052.38272940658,1.7914330960609028,0.22024769604861982,352.5519519239,0.015892004537414336
18.899999999999686,-786.6500889075212,6017.357371825908,19.940037173272085,-78.66738049026253,601.7538783637826,-61.07209676515993,30.06315789473517,2.4995566738983155,6068.558980733878,609.9394132881945,-2594.8902379120104,19849.208844384382,5.552378098607051,20017.142430270833,burn,2.4995566738983155,13949.546501423973,227432.3717921723,1.7928018321227004,0.22024220913884549,352.5519519239,0.015892004537414336
18.919999999999686,-788.2234365173265,6029.392449393184,18.718595237968888,-78.72786552017746,602.2165491824552,-61.161816562828704,30.050526315787803,2.504206884258821,6080.6964646062315,610.4126610120834,-2594.8902379120104,19849.208844384382,5.552378098607051,20017.142430270833,burn,2.504206884258821,13937.40901755162,227812.15883472428,1.7941681262887723,0.220236844096108,352.5519519239,0.015892004537414336
18.939999999999685,-789.79799382773,6041.436780376833,17.495358906712312,-78.78824867740278,602.6784407418504,-61.2512647043944,30.037894736840435,2.508872707363753,6092.843280632146,610.8851025295739,-2594.8902379120104,19849.208844384382,5.552378098607051,20017.142430270833,burn,2.508872707363753,13925.262201525704,228191.74203940824,1.7955319771549705,0.22023159825980138,352.5519519239,0.015892004537414336
