rank,score,kp,ki,kd,guidance_gain,guidance_altitude_gain,gamma_final_deg,peak_altitude,downrange,impact_error,final_speed,flight_time,landed,mean_alpha_deg,max_alpha_deg,mean_gimbal_deg,max_gimbal_deg,saturation_ratio,mean_gamma_error_deg
970,5219.0054,4.0,0.6,1.7,0.58,4e-05,76.0,3424.353089,852.726267,52.726267,214.464697,59.260000,1.000000,10.247155,117.315675,0.332225,5.264056,0.000000,1.123908
971,5219.0914,4.4,0.8,1.9,0.66,8e-05,78.0,3483.689142,705.521221,94.478779,215.637264,59.840000,1.000000,10.745744,125.836630,0.272745,4.704390,0.000000,0.793458
972,5219.3717,4.0,1.0,1.7,0.66,8e-05,80.0,3573.304245,792.640133,7.359867,217.545363,60.740000,1.000000,10.001302,137.597533,0.272146,5.001541,0.000000,0.422623
973,5219.3863,4.0,0.35,1.82,0.63,6e-05,75.2,3417.104959,918.070404,118.070404,214.345521,59.220000,1.000000,10.120117,115.673081,0.336452,5.047963,0.000000,0.970253
974,5219.8293,3.6,0.85,1.98,0.61,9e-05,76.8,3440.304189,688.547878,111.452122,214.706560,59.400000,1.000000,11.132625,120.313113,0.315188,4.815306,0.000000,0.842136
975,5219.9093,3.6,0.85,1.82,0.58,7e-05,76.0,3432.899255,675.828915,124.171085,214.539616,59.360000,1.000000,11.153093,117.696600,0.278366,4.281560,0.000000,1.066263
976,5220.0629,3.6,0.8,1.98,0.61,8e-05,76.8,3440.273390,688.976621,111.023379,214.707492,59.400000,1.000000,11.130123,120.308386,0.315270,4.816070,0.000000,0.863628
977,5220.9236,3.6,0.75,1.98,0.61,7e-05,76.8,3440.242588,689.405246,110.594754,214.708423,59.400000,1.000000,11.127626,120.303655,0.315352,4.816834,0.000000,0.892949
978,5221.1526,4.0,1.1,1.7,0.66,8e-05,80.0,3573.365464,792.121642,7.878358,217.543920,60.740000,1.000000,10.003722,137.604101,0.272069,5.000618,0.000000,0.422950
979,5221.5761,3.6,0.85,1.98,0.61,8e-05,76.8,3440.304189,688.547878,111.452122,214.706560,59.400000,1.000000,11.132625,120.313113,0.315188,4.815306,0.000000,0.863971
